,Unnamed: 0,UEI,Start Date,End Date,Duration(Days),Main Cause,Location,Districts,State,Latitude,Longitude,Severity,Area Affected,Human fatality,Human injured,Human Displaced,Animal Fatality,Description of Casualties/injured,Extent of damage,Event Source,Event Souce ID
1075,1201,UEI-IMD-FL-1984-0058,30-06-1984,2/7/1984,2,"heavy rains, moderate, severe",,"Amravati, Greater Mumbai, Kolhapur, Konkan region, Nasik",Maharastra,,,,,13,,,,"A 24 year old woman and 11 year old girl washed away while crossing nullah at Sukali village, 8 km from Amravati, 1 person electrucated at Sion, 3 persons swept away in Shirol and Ajara talukas, 5 persons died, 2 persons died in a wall collapse at Mahasrul village","i)Low lying areas in the city remained submerged under water for two days , ii)Century's second highest rainfall 54.0 cm in a day recorded by Colaba observatory on 2nd July iii)All low lying areas on both sides of railway lines and a large number of roads submerged under water disrupting railway and vehicular traffic iv)Telecommunication system disrupted v)All principal markets closed vi)Vehicular traffic on Ichalkaranji - Nipani, Kolhapur - Sadoli Khalsa and Gadhinglaj - Nesari, routes,suspended vii)Area under Sangameshwar, Chiplun and Rajapur Police Stations inundated. Sangameshwar market submerged under water viii)Kubadwadi villages encircled by water ix)Heavy damage to crops reported x)Vehicular traffic on Gargoti-Ratnagiri and Gargoti-Chandgad suspended as the connecting roads badly damaged xi)Mumbai-Goa National Highway blocked for 3 dyas due to landslide near Dhamani xii)Vehicular traffic on Poladpurmasla road suspended due to breaches at three places xiii)State Transportation bus service patially or totally suspended",IMD,
1076,1202,UEI-IMD-FL-1984-0059,1/7/1984,4/7/1984,3,heavy rains,,Pune,Maharastra,,,,,16,,,,1 person died in the outskirts of Pune city while 15 other washed away in the different parts of the districts,All the low lying areas in Pune city inundated,IMD,
1077,1203,UEI-IMD-FL-1984-0060,3/7/1984,4/7/1984,1,heavy rains,,Greater Mumbai,Maharastra,,,,,6,,,,6 slum-dwellers died and many other injured when and overhead H.T. cable fell on their huts at Antop hill in north Mumbai on 3rd,i)All low lying areas inundated ii)Long distance train from Mumbai ran indefinitely late and some trains cancelled. Thousands of passengers stranded iii)9000 telephones reported dead due to 36 cable faults,IMD,
1078,1204,UEI-IMD-FL-1984-0061,14-07-1984,14-07-1984,0,heavy rains,,Nagpur,Maharastra,,,,,3,,,,3 persons died,,IMD,
1079,1205,UEI-IMD-FL-1984-0062,17-07-1984,18-07-1984,1,heavy rains,,Greater Mumbai,Maharastra,,,,,11,,,,11 fishermen reported missing feared to be drowned,i)2 fishing trawlers 'Almadani' and 'Wageshwari' capsized across Mumbai harbour ii)Several low lying areas flooded iii)Vehicular traffic disrupted,IMD,
1080,1206,UEI-IMD-FL-1984-0063,17-07-1984,19-07-1984,2,severe,,Konkan region,Maharastra,,,,,312,,,,i)12 persons swept away in flood water ii)300 people and a large number of cattle reported missing,"i)2 fishing vessels capsized off Raigad coast ii)Sassoon dock in Colaba remained chocked with about 500 trawlers iii)Mumbai - Goa National Highway closed for traffic due to landslide near Nadgao, 6 km from Mahad",IMD,
1081,1207,UEI-IMD-FL-1984-0064,15-07-1984,21-07-1984,6,severe,,Thane,Maharastra,,,,,12,,,,12 persons and several cattles reported washed away,"i)5 million affected in 150 villages in Vasai, Palghar, Dahanu, Bhivandi-Mokhada talukas ii)Maximum damage caused in Wada and Vasai talukas, where 1500 hectares of cultivated land damaged iii)Several Adivasi families rendered homeless in Vasai taluka iv)Property worth lakhs of rupees damaged v)Several villages in Vasai and Bhivandi talukas submerged under water for 48 hours vi)Many people trapped on tree tops at Ghateghi and Shairam villages vii)70 houses submerged and 7 houses collapsed viii)8 fully loaded trucks washed away on Mumbai-Ahmedabad road near Tansa bridge, 75 km from MUmbai ix)50 boats anchored along the river-side swapt away and 20 more vessels damaged",IMD,
1082,1208,UEI-IMD-FL-1984-0065,21-07-1984,21-07-1984,0,heavy rains,,Kolhapur,Maharastra,,,,,,,,,,i)10 shops and 30 houses collapsed in Ajra taluka ii)Normal life in interior Kolhapur district completely paralysed iii)Vehicular traffic disrupted,IMD,
1083,1209,UEI-IMD-FL-1984-0066,2/8/1984,2/8/1984,0,heavy rains,,Amravati,Maharastra,,,,,,,,,,i)21 houses and 7 shops washed away ii)Normal life in Amravati city completely paralysed,IMD,
1084,1210,UEI-IMD-FL-1984-0067,3/8/1984,3/8/1984,0,heavy rains,,Nagpur,Maharastra,,,,,,,,,,Costly equipments including giant cranes of the 'Central National Project Construction Corporation' at 'Pench Hydroelectricity Projrct about 80 km. from Nagpur washed away. Loss estimated to be worth several lakh rupees.,IMD,
1085,1211,UEI-IMD-FL-1984-0068,6/8/1984,6/8/1984,0,moderate,,Nashik,Maharastra,,,,,,,,,,i)Many low lying areas in Nashik city submerged under water. Residents of these areas evacuated to safer places ii)Culvert connecting Nashik and Panchwati submerged under water,IMD,
1086,1212,UEI-IMD-FL-1984-0069,9/9/1984,12/9/1984,3,heavy rains,,Jalna,Maharastra,,,,,1,1,,,1 boy died and another injured at Golatgaon village,,IMD,
1087,1213,UEI-IMD-FL-1984-0070,11/9/1984,11/9/1984,0,heavy rains,,Pune,Maharastra,,,,,2,,,,2 cyclists washed away in swollen nullah near  Rasta Peth,,IMD,
